Название,Континент,Столица,Площадь (км²),Численность населения
Россия,Евразия,Москва,17098242,145912025
США,Северная Америка,Вашингтон,9372610,331002651
Китай,Азия,Пекин,9596961,1439323776
Бразилия,Южная Америка,Бразилиа,8515767,212559417
Австралия,Океания,Канберра,7692024,25499884
Франция,Европа,Париж,551695,65273511
Индия,Азия,Нью-Дели,3287263,1380004385
Южноафриканская Республика,Африка,Претория,1219090,59308690
